subscription_id,customer_id,plan_tier,mrr_value,start_date,end_date,status,billing_cycle
1,1,Basic,51.92,2025-04-01,2026-06-01,canceled,monthly
2,2,Basic,61.83,2024-11-01,,active,monthly
3,3,Basic,46.54,2024-10-01,2025-07-01,canceled,monthly
4,4,Pro,236.34,2025-03-01,,active,monthly
5,5,Basic,46.08,2025-07-01,,active,monthly
6,6,Basic,43.26,2025-02-01,2026-04-01,canceled,monthly
7,7,Basic,51.98,2025-07-01,,active,monthly
8,8,Pro,192.82,2025-08-01,,active,monthly
9,9,Pro,212.33,2024-11-01,2025-11-01,downgraded,monthly
10,9,Basic,56.56,2025-12-01,2026-07-01,canceled,monthly
11,10,Basic,53.39,2025-06-01,,active,monthly
12,11,Basic,47.86,2026-02-01,,active,monthly
13,12,Enterprise,1023.57,2025-11-01,,active,monthly
14,13,Basic,62.12,2025-01-01,2026-07-01,upgraded,monthly
15,13,Pro,172.62,2026-08-01,2027-08-01,canceled,monthly
16,14,Basic,56.83,2025-10-01,,active,monthly
17,15,Pro,170.79,2025-12-01,,active,monthly
18,16,Enterprise,813.7,2025-09-01,,active,monthly
19,17,Enterprise,949.54,2025-01-01,2026-07-01,canceled,monthly
20,18,Basic,58.27,2025-06-01,2026-08-01,canceled,monthly
21,19,Pro,180.71,2024-11-01,2025-01-01,canceled,monthly
22,20,Basic,63.47,2025-05-01,,active,monthly
23,21,Basic,49.65,2025-03-01,2026-08-01,canceled,monthly
24,22,Enterprise,1077.81,2025-10-01,2026-04-01,canceled,monthly
25,23,Basic,59.68,2025-11-01,2026-04-01,canceled,monthly
26,24,Pro,246.26,2025-11-01,,active,monthly
27,25,Pro,244.41,2025-05-01,2025-07-01,canceled,monthly
28,26,Basic,62.42,2025-06-01,2025-10-01,canceled,monthly
29,27,Basic,49.19,2026-03-01,2026-07-01,canceled,monthly
30,28,Basic,59.83,2025-07-01,2025-10-01,canceled,monthly
31,29,Pro,238.24,2026-01-01,,active,monthly
32,30,Enterprise,1137.16,2025-08-01,,active,monthly
33,31,Basic,48.4,2025-04-01,2025-05-01,canceled,monthly
34,32,Basic,42.39,2025-03-01,,active,monthly
35,33,Pro,225.09,2025-08-01,,active,monthly
36,34,Basic,50.73,2025-08-01,2025-09-01,canceled,monthly
37,35,Basic,53.3,2025-04-01,2026-05-01,canceled,monthly
38,36,Pro,203.52,2025-11-01,,active,monthly
39,37,Enterprise,869.6,2024-12-01,2025-07-01,canceled,monthly
40,38,Pro,229.09,2025-09-01,2026-08-01,canceled,monthly
41,39,Basic,56.94,2025-08-01,,active,monthly
42,40,Basic,52.25,2024-12-01,2025-06-01,canceled,monthly
43,41,Pro,206.38,2025-06-01,,active,monthly
44,42,Basic,53.8,2025-04-01,2025-11-01,canceled,monthly
45,43,Basic,44.61,2025-08-01,,active,monthly
46,44,Pro,222.02,2026-04-01,,active,monthly
47,45,Basic,55.38,2025-10-01,,active,monthly
