customer_id,industry,company_size,plan_tier,mrr_value,churned,churn_risk_score,risk_tier
438,Retail,Small,Basic,56.3,0,0.7630755999208082,High
310,Edtech,Small,Basic,55.23,0,0.7300223120017871,High
777,Media,Small,Basic,54.91,0,0.6559084008620485,High
656,Manufacturing,Mid-Market,Basic,63.66,0,0.6425740268361456,High
663,Logistics,Small,Basic,54.69,0,0.6367594456720874,High
43,Logistics,Small,Basic,44.61,0,0.6293721674308782,High
857,Healthcare,Mid-Market,Pro,257.98,0,0.6039237676823614,High
325,Manufacturing,Mid-Market,Basic,48.88,0,0.6025907587763939,High
846,Manufacturing,Mid-Market,Basic,52.22,0,0.6019403245690538,High
97,Legal,Mid-Market,Basic,50.87,0,0.5978328892247531,High
1071,Real Estate,Small,Basic,43.18,0,0.5971368917565598,High
541,Logistics,Mid-Market,Basic,45.64,0,0.5960318310076306,High
47,Fintech,Enterprise,Basic,48.65,0,0.5926864837429009,High
649,Retail,Small,Basic,56.91,0,0.580776165867178,High
397,Legal,Small,Pro,244.79,0,0.5741280789098536,High
958,Media,Small,Pro,222.47,0,0.5696248995532922,High
409,Hospitality,Small,Basic,47.97,0,0.5690332858875546,High
1077,Legal,Small,Pro,213.56,0,0.5627114522871934,High
303,Logistics,Mid-Market,Basic,56.57,0,0.5608994883539296,High
1109,Edtech,Small,Pro,224.9,0,0.5581509180666894,High
885,Healthcare,Small,Basic,46.82,0,0.5539296298594242,High
703,Logistics,Enterprise,Basic,43.04,0,0.5535195785643059,High
1111,Real Estate,Mid-Market,Basic,44.09,0,0.5529275981534593,High
578,Logistics,Enterprise,Basic,43.67,0,0.5498752114931795,High
792,Edtech,Mid-Market,Basic,45.33,0,0.5488373232406141,High
927,Logistics,Small,Basic,63.46,0,0.5482030574661055,High
1130,Edtech,Small,Basic,48.99,0,0.5364825136138022,High
933,Manufacturing,Mid-Market,Basic,45.17,0,0.5354850869671066,High
600,Hospitality,Small,Basic,59.84,0,0.5342283368140653,High
261,Edtech,Mid-Market,Pro,238.69,0,0.5303314421264349,High
234,Edtech,Mid-Market,Pro,185.17,0,0.5267259032457916,High
766,Legal,Mid-Market,Pro,195.2,0,0.526005033703706,High
1135,Legal,Mid-Market,Basic,41.88,0,0.5185142354162018,High
558,Healthcare,Mid-Market,Basic,57.09,0,0.5175534254435945,High
1125,Edtech,Small,Pro,200.12,0,0.5144573003747422,High
150,Fintech,Enterprise,Basic,57.48,0,0.5144373163515793,High
960,Fintech,Small,Basic,42.67,0,0.5129648901149967,High
662,Retail,Mid-Market,Pro,206.05,0,0.5092452834761123,High
89,Edtech,Enterprise,Basic,47.61,0,0.5084384185231655,High
173,Fintech,Small,Basic,44.65,0,0.49786393783241845,High
930,Logistics,Enterprise,Pro,239.52,0,0.4908396021270405,High
441,Legal,Mid-Market,Pro,206.84,0,0.48702331569600954,High
277,Real Estate,Small,Basic,42.79,0,0.48219522611381155,High
249,Real Estate,Mid-Market,Basic,51.06,0,0.478510875690741,High
1186,Legal,Small,Basic,51.04,0,0.47000727425843136,High
556,Hospitality,Small,Basic,49.95,0,0.4699964461246795,High
29,Healthcare,Small,Pro,238.24,0,0.46779141418973635,High
978,Hospitality,Small,Basic,41.67,0,0.4667680969088669,High
54,Healthcare,Small,Basic,41.68,0,0.46511744221131757,High
886,Media,Enterprise,Basic,52.16,0,0.46425887368378305,High
198,Legal,Small,Basic,47.16,0,0.4633259232014332,High
494,Fintech,Enterprise,Basic,56.88,0,0.46308370084083,High
360,Logistics,Small,Basic,48.17,0,0.45944796075586614,High
1056,Manufacturing,Mid-Market,Basic,49.0,0,0.4578571307350029,High
479,Manufacturing,Mid-Market,Basic,58.16,0,0.4554169926895791,High
163,Logistics,Enterprise,Enterprise,1141.15,0,0.4458952137638097,High
93,Retail,Mid-Market,Basic,46.17,0,0.4449492695938173,High
1046,Fintech,Mid-Market,Basic,59.37,0,0.44473040227133975,High
850,Fintech,Small,Basic,42.9,0,0.44340816841783415,High
476,Manufacturing,Small,Basic,46.79,0,0.44069698482932856,High
100,Hospitality,Small,Basic,44.69,0,0.4381602838216507,High
276,Logistics,Mid-Market,Basic,54.5,0,0.4372921743627591,High
761,Media,Small,Basic,56.51,0,0.4342381020582255,High
805,Retail,Small,Pro,257.33,0,0.43411493752868996,High
1091,Logistics,Small,Basic,43.42,0,0.4311238234143469,High
945,Logistics,Small,Basic,49.66,0,0.42625088822293844,High
1116,Edtech,Mid-Market,Basic,63.08,0,0.42343909821126247,High
840,Fintech,Mid-Market,Basic,56.4,0,0.4203347119261173,High
11,Edtech,Small,Basic,47.86,0,0.4202018055095185,High
374,Fintech,Small,Basic,57.54,0,0.42012179066042216,High
837,Healthcare,Small,Basic,63.51,0,0.41856769670148514,High
214,Legal,Mid-Market,Enterprise,1004.52,0,0.41844292589443305,High
602,Logistics,Small,Basic,54.72,0,0.4179506699839054,High
106,Real Estate,Mid-Market,Basic,60.42,0,0.4152901707424749,High
1103,Real Estate,Mid-Market,Basic,55.58,0,0.4144872714564856,High
139,Hospitality,Small,Basic,62.52,0,0.41387464140864727,High
1078,Healthcare,Small,Basic,59.35,0,0.41373673144953993,High
1160,Retail,Small,Basic,60.93,0,0.4123693739763026,High
77,Hospitality,Enterprise,Pro,254.14,0,0.41197322025787597,High
45,Edtech,Mid-Market,Basic,55.38,0,0.4115481864983705,High
981,Retail,Small,Basic,62.47,0,0.4104324234813967,High
379,Legal,Small,Basic,46.1,0,0.4100019919477782,High
380,Real Estate,Small,Pro,184.71,0,0.4087929262627311,High
446,Legal,Small,Basic,59.58,0,0.40849493880151594,High
72,Hospitality,Small,Basic,48.48,0,0.40845575375980003,High
605,Healthcare,Enterprise,Pro,194.71,0,0.40321441158180965,High
50,Hospitality,Enterprise,Basic,56.97,0,0.4028092119476827,High
1023,Edtech,Small,Pro,196.35,0,0.4006238405490539,High
676,Hospitality,Mid-Market,Basic,61.92,0,0.3983921265207004,High
536,Media,Small,Basic,47.4,0,0.3966420731292985,High
598,Real Estate,Small,Basic,48.37,0,0.3924827805536451,High
786,Healthcare,Small,Basic,62.5,0,0.3919808043151729,High
318,Healthcare,Small,Basic,45.64,0,0.3859227111694301,High
909,Retail,Mid-Market,Basic,53.62,0,0.3803598628861451,High
521,Fintech,Enterprise,Basic,49.18,0,0.3784190965174419,High
204,Manufacturing,Mid-Market,Pro,227.11,0,0.37653383450666084,High
1114,Real Estate,Small,Basic,42.95,0,0.37640407670888737,High
39,Legal,Small,Basic,56.94,0,0.3757990215803071,High
361,Legal,Small,Basic,57.07,0,0.3746757982510485,High
620,Hospitality,Mid-Market,Basic,62.66,0,0.3721269430236257,High
544,Retail,Mid-Market,Basic,58.7,0,0.37091373417543666,High
152,Manufacturing,Small,Pro,255.09,0,0.36846422408247764,High
640,Media,Small,Basic,47.41,0,0.3623452924126973,High
297,Edtech,Small,Enterprise,1029.55,0,0.355655770057589,High
272,Media,Enterprise,Basic,56.94,0,0.3551899931483453,High
1094,Hospitality,Mid-Market,Pro,186.79,0,0.35492111706251367,High
796,Legal,Small,Basic,44.3,0,0.3545809419385075,High
739,Retail,Mid-Market,Basic,49.47,0,0.35414364161167955,High
1142,Legal,Enterprise,Basic,51.73,0,0.3504334739221665,High
292,Real Estate,Small,Basic,43.43,0,0.34677217159639284,High
807,Retail,Enterprise,Basic,53.17,0,0.3443680105501826,High
1195,Manufacturing,Mid-Market,Basic,42.24,0,0.343651299997872,High
1052,Legal,Small,Basic,57.08,0,0.3431379270059565,High
177,Manufacturing,Small,Basic,62.82,0,0.34280429333195744,High
320,Fintech,Small,Basic,56.33,0,0.34037047118427044,High
593,Legal,Mid-Market,Basic,56.97,0,0.33925243342032996,High
423,Logistics,Small,Basic,54.07,0,0.3388011273892112,High
1189,Healthcare,Small,Basic,51.44,0,0.3385320561798457,High
279,Media,Small,Basic,42.18,0,0.33815451733792373,High
1137,Retail,Small,Basic,53.17,0,0.3368675937695651,High
1088,Legal,Small,Basic,60.64,0,0.33624033495195205,High
919,Real Estate,Mid-Market,Basic,47.51,0,0.3338760275237212,High
1172,Edtech,Small,Pro,228.46,0,0.33378956796638903,High
932,Edtech,Small,Basic,53.28,0,0.3309486406427277,High
873,Manufacturing,Mid-Market,Pro,199.9,0,0.3306606759758232,High
398,Fintech,Enterprise,Basic,60.61,0,0.3293172219444284,High
1151,Real Estate,Enterprise,Basic,60.72,0,0.3292259908570362,High
1124,Media,Small,Enterprise,968.83,0,0.3289977344571441,Medium
253,Edtech,Small,Basic,52.51,0,0.3287710665147635,Medium
230,Healthcare,Small,Basic,53.17,0,0.3256817102841757,Medium
2,Edtech,Mid-Market,Basic,61.83,0,0.324454380978972,Medium
84,Edtech,Enterprise,Basic,50.94,0,0.3222846522068512,Medium
881,Manufacturing,Mid-Market,Basic,45.85,0,0.3210439378218751,Medium
44,Edtech,Mid-Market,Pro,222.02,0,0.3206115464268976,Medium
622,Manufacturing,Small,Basic,56.07,0,0.3198387397795852,Medium
560,Logistics,Mid-Market,Pro,222.71,0,0.31733754483881804,Medium
934,Edtech,Small,Basic,53.27,0,0.31365982064572123,Medium
308,Media,Mid-Market,Enterprise,987.41,0,0.31322089419704335,Medium
1177,Logistics,Mid-Market,Pro,172.47,0,0.3131403153764756,Medium
505,Manufacturing,Mid-Market,Basic,55.32,0,0.31275193763181613,Medium
10,Legal,Mid-Market,Basic,53.39,0,0.3126435073693372,Medium
174,Manufacturing,Small,Basic,53.36,0,0.30821348652419744,Medium
955,Legal,Small,Basic,43.78,0,0.3080968769210867,Medium
331,Fintech,Mid-Market,Pro,242.2,0,0.3054274502350431,Medium
108,Media,Mid-Market,Basic,54.15,0,0.304986229269727,Medium
192,Logistics,Mid-Market,Basic,48.24,0,0.30485522943638704,Medium
