customer_id,industry,company_size,country,acquisition_channel,cac,plan_tier,mrr_value,tenure_days,churned,avg_logins,total_logins,last_login_date,active_months,usage_trend_pct,total_invoices,failed_invoices,failure_rate,total_tickets,unresolved_tickets,avg_csat
1,Retail,Small,Canada,Referral,86.64,Basic,51.92,426,1,7.5,105,2026-05-01,14,-0.8205128205128205,14,0,0.0,3.0,0.0,3.3333333333333335
2,Edtech,Mid-Market,Germany,Referral,129.57,Basic,61.83,668,0,2.761904761904762,58,2026-07-01,21,-0.4705882352941177,21,0,0.0,4.0,0.0,3.75
3,Fintech,Small,Canada,Partner,256.43,Basic,46.54,273,1,2.888888888888889,26,2025-06-01,9,-0.8888888888888888,9,1,0.1111111111111111,4.0,1.0,2.0
4,Legal,Small,India,Paid Search,390.92,Pro,236.34,548,0,21.941176470588236,373,2026-07-01,17,0.03076923076923066,17,0,0.0,2.0,0.0,3.0
5,Hospitality,Mid-Market,United States,Organic,41.21,Basic,46.08,426,0,2.3846153846153846,31,2026-07-01,13,0.0,13,0,0.0,2.0,0.0,4.0
6,Retail,Small,India,Referral,55.81,Basic,43.26,424,1,1.4285714285714286,20,2026-03-01,14,-1.0,14,0,0.0,2.0,0.0,4.0
7,Healthcare,Small,United States,Organic,42.5,Basic,51.98,426,0,6.384615384615385,83,2026-07-01,13,-0.27272727272727276,13,1,0.07692307692307693,1.0,1.0,
8,Edtech,Small,India,Organic,61.84,Pro,192.82,395,0,8.333333333333334,100,2026-07-01,12,0.6842105263157895,12,2,0.16666666666666666,3.0,0.0,4.0
9,Legal,Small,Australia,Organic,34.19,Basic,56.56,212,1,1.1428571428571428,8,2026-06-01,7,3.0,7,1,0.14285714285714285,2.0,0.0,2.5
10,Legal,Mid-Market,United States,Outbound Sales,1145.7,Basic,53.39,456,0,5.428571428571429,76,2026-07-01,14,-0.15,14,0,0.0,4.0,0.0,4.25
11,Edtech,Small,Australia,Referral,89.73,Basic,47.86,211,0,5.5,33,2026-07-01,6,-0.16666666666666666,6,0,0.0,0.0,0.0,
12,Hospitality,Small,United States,Organic,30.21,Enterprise,1023.57,303,0,14.555555555555555,131,2026-07-01,9,-0.32,9,0,0.0,2.0,1.0,5.0
13,Retail,Mid-Market,Germany,Organic,57.28,Pro,172.62,365,1,13.0,156,2027-07-01,12,-0.4761904761904762,12,1,0.08333333333333333,2.0,1.0,4.0
14,Media,Small,United States,Paid Search,549.87,Basic,56.83,334,0,5.4,54,2026-07-01,10,0.4,10,0,0.0,2.0,0.0,4.5
15,Logistics,Small,India,Paid Search,430.01,Pro,170.79,273,0,23.25,186,2026-07-01,8,0.0,8,0,0.0,0.0,0.0,
16,Edtech,Small,India,Partner,269.22,Enterprise,813.7,364,0,27.09090909090909,298,2026-07-01,11,-0.09756097560975602,11,1,0.09090909090909091,3.0,0.0,3.0
17,Healthcare,Small,United Kingdom,Partner,412.16,Enterprise,949.54,546,1,23.833333333333332,429,2026-06-01,18,-0.5555555555555556,18,1,0.05555555555555555,1.0,0.0,5.0
18,Media,Small,India,Organic,54.23,Basic,58.27,426,1,4.642857142857143,65,2026-07-01,14,-0.6190476190476192,14,0,0.0,5.0,1.0,2.75
19,Manufacturing,Small,India,Paid Search,551.65,Pro,180.71,61,1,2.5,5,2024-12-01,2,,2,0,0.0,2.0,0.0,2.0
20,Hospitality,Small,United Kingdom,Organic,50.24,Basic,63.47,487,0,6.466666666666667,97,2026-07-01,15,0.20833333333333326,15,0,0.0,4.0,0.0,4.25
21,Retail,Enterprise,United States,Outbound Sales,1012.83,Basic,49.65,518,1,2.9411764705882355,50,2026-07-01,17,-0.8181818181818182,17,0,0.0,4.0,0.0,2.5
