customer_id,company_name,industry,company_size,country,signup_date,acquisition_channel,cac
1,"Rodriguez, Figueroa and Sanchez",Retail,Small,Canada,2025-04-01,Referral,86.64
2,Doyle Ltd,Edtech,Mid-Market,Germany,2024-11-01,Referral,129.57
3,"Mcclain, Miller and Henderson",Fintech,Small,Canada,2024-10-01,Partner,256.43
4,Davis and Sons,Legal,Small,India,2025-03-01,Paid Search,390.92
5,"Guzman, Hoffman and Baldwin",Hospitality,Mid-Market,United States,2025-07-01,Organic,41.21
6,"Gardner, Robinson and Lawrence",Retail,Small,India,2025-02-01,Referral,55.81
7,Blake and Sons,Healthcare,Small,United States,2025-07-01,Organic,42.5
8,"Henderson, Ramirez and Lewis",Edtech,Small,India,2025-08-01,Organic,61.84
9,Garcia-James,Legal,Small,Australia,2024-11-01,Organic,34.19
10,Abbott-Munoz,Legal,Mid-Market,United States,2025-06-01,Outbound Sales,1145.7
11,Blair PLC,Edtech,Small,Australia,2026-02-01,Referral,89.73
12,Dudley Group,Hospitality,Small,United States,2025-11-01,Organic,30.21
13,Arnold Ltd,Retail,Mid-Market,Germany,2025-01-01,Organic,57.28
14,"Mcclure, Ward and Lee",Media,Small,United States,2025-10-01,Paid Search,549.87
15,Williams and Sons,Logistics,Small,India,2025-12-01,Paid Search,430.01
16,Galloway-Wyatt,Edtech,Small,India,2025-09-01,Partner,269.22
17,James Group,Healthcare,Small,United Kingdom,2025-01-01,Partner,412.16
18,"Flowers, Martin and Kelly",Media,Small,India,2025-06-01,Organic,54.23
19,"Adams, Zuniga and Wong",Manufacturing,Small,India,2024-11-01,Paid Search,551.65
20,"Reid, Ferguson and Sanchez",Hospitality,Small,United Kingdom,2025-05-01,Organic,50.24
21,Gray-Mayo,Retail,Enterprise,United States,2025-03-01,Outbound Sales,1012.83
22,"Watts, Robinson and Nguyen",Legal,Small,United States,2025-10-01,Partner,386.86
23,Perez Inc,Media,Small,Australia,2025-11-01,Paid Search,421.13
24,Morales-Jones,Legal,Small,Germany,2025-11-01,Organic,45.4
25,"Walter, Edwards and Rios",Hospitality,Small,United States,2025-05-01,Organic,55.66
26,Wilkerson-Day,Hospitality,Enterprise,United Kingdom,2025-06-01,Paid Search,431.32
27,Baker and Sons,Healthcare,Small,United States,2026-03-01,Paid Search,329.34
28,"Hoffman, Baker and Richards",Edtech,Small,India,2025-07-01,Organic,37.59
29,"Ross, Robinson and Bright",Healthcare,Small,United States,2026-01-01,Organic,54.25
30,"Snyder, Campos and Callahan",Healthcare,Mid-Market,United Kingdom,2025-08-01,Organic,49.91
31,Burton Ltd,Logistics,Mid-Market,India,2025-04-01,Referral,93.58
32,Carlson-Cruz,Manufacturing,Mid-Market,United States,2025-03-01,Organic,50.96
33,"Ferrell, Rice and Maddox",Manufacturing,Small,United States,2025-08-01,Paid Search,523.02
34,Frazier Inc,Edtech,Small,United States,2025-08-01,Outbound Sales,624.85
35,"Dyer, Potter and Mack",Healthcare,Mid-Market,United States,2025-04-01,Outbound Sales,819.73
36,Rodriguez-Graham,Legal,Small,India,2025-11-01,Paid Search,512.56
37,Smith-Bowen,Fintech,Small,Australia,2024-12-01,Outbound Sales,575.99
38,"Baker, Mason and White",Media,Mid-Market,Australia,2025-09-01,Partner,389.3
39,Harrell LLC,Legal,Small,United States,2025-08-01,Organic,52.83
40,"Romero, Gonzalez and Brooks",Manufacturing,Small,United Kingdom,2024-12-01,Organic,60.59
41,Ryan PLC,Edtech,Small,United Kingdom,2025-06-01,Referral,142.04
42,George Group,Manufacturing,Mid-Market,United Kingdom,2025-04-01,Referral,91.37
43,Rodriguez LLC,Logistics,Small,India,2025-08-01,Organic,32.88
44,Allen-Allen,Edtech,Mid-Market,United States,2026-04-01,Partner,242.12
45,"Arroyo, Miller and Tucker",Edtech,Mid-Market,India,2025-10-01,Referral,77.81
46,Spence PLC,Media,Small,United States,2025-03-01,Referral,118.96
47,Anderson Group,Fintech,Enterprise,Canada,2026-02-01,Outbound Sales,872.07
48,"Martin, Rose and Obrien",Fintech,Small,Germany,2026-03-01,Organic,59.25
49,Hickman Ltd,Legal,Mid-Market,United States,2025-11-01,Organic,58.88
50,"Harris, Collins and Carney",Hospitality,Enterprise,United States,2025-07-01,Referral,122.77
51,"Brooks, Lam and Hayes",Hospitality,Mid-Market,India,2025-01-01,Partner,365.43
52,Walker LLC,Manufacturing,Mid-Market,United States,2025-04-01,Partner,379.96
53,Chapman and Sons,Fintech,Mid-Market,Australia,2025-12-01,Paid Search,611.7
54,"Robinson, Jones and Welch",Healthcare,Small,Germany,2025-09-01,Partner,300.55
55,Jones Inc,Healthcare,Small,United States,2025-04-01,Referral,118.81
56,Jones-Young,Fintech,Small,India,2025-03-01,Organic,43.32
57,"Washington, Ryan and Cummings",Hospitality,Small,United States,2025-11-01,Organic,69.5
58,"Johnston, Sanchez and Kennedy",Media,Small,United States,2025-07-01,Organic,51.61
59,Lee-Davis,Hospitality,Small,India,2025-06-01,Referral,120.45
60,Gomez-Jenkins,Legal,Small,United States,2025-10-01,Paid Search,499.73
61,"Brown, Valdez and Lucas",Legal,Small,Canada,2024-10-01,Partner,242.11
62,Powell LLC,Healthcare,Mid-Market,United States,2025-01-01,Paid Search,636.9
63,Wright and Sons,Manufacturing,Mid-Market,United States,2025-08-01,Outbound Sales,984.89
64,"West, Henderson and Ramirez",Logistics,Mid-Market,United States,2025-05-01,Paid Search,635.78
65,Baxter Inc,Fintech,Small,United States,2024-10-01,Organic,47.03
66,Morton-Chase,Retail,Small,India,2025-06-01,Organic,73.4
67,Williams PLC,Legal,Mid-Market,India,2025-04-01,Referral,116.15
68,Novak and Sons,Legal,Small,Germany,2025-06-01,Referral,106.03
69,Russell Group,Logistics,Mid-Market,India,2024-12-01,Organic,58.09
70,Hancock Inc,Fintech,Small,India,2025-04-01,Paid Search,464.19
71,Gray Group,Fintech,Small,United States,2026-02-01,Outbound Sales,790.55
72,House-Glover,Hospitality,Small,United States,2025-11-01,Partner,315.57
73,Henderson-Bernard,Real Estate,Mid-Market,United Kingdom,2025-01-01,Referral,130.86
74,"Stanley, Tucker and Lee",Healthcare,Mid-Market,United States,2025-03-01,Partner,343.6
75,Novak PLC,Logistics,Enterprise,India,2026-05-01,Paid Search,374.71
76,"Daniels, Adkins and Brown",Retail,Mid-Market,India,2025-12-01,Partner,387.15
77,"Woods, Calhoun and Schmidt",Hospitality,Enterprise,Australia,2024-12-01,Paid Search,391.14
78,Yu Inc,Healthcare,Small,United States,2025-04-01,Outbound Sales,1113.56
79,Jones Inc,Healthcare,Small,Canada,2025-03-01,Outbound Sales,1330.27
80,"Hensley, Powell and David",Fintech,Mid-Market,United States,2025-03-01,Referral,151.96
81,"Sanchez, Wheeler and Harvey",Legal,Small,Germany,2025-10-01,Organic,41.26
82,Sandoval-Cunningham,Logistics,Small,Australia,2025-05-01,Paid Search,449.01
83,Donovan-Harris,Hospitality,Mid-Market,United Kingdom,2025-01-01,Referral,107.0
84,"Edwards, Baker and Anderson",Edtech,Enterprise,United States,2025-09-01,Organic,52.55
85,"Evans, Stewart and Walton",Logistics,Small,United States,2025-04-01,Partner,250.18
86,Smith PLC,Manufacturing,Enterprise,India,2025-10-01,Paid Search,603.01
87,"Ferrell, Jones and Lewis",Legal,Small,India,2025-01-01,Organic,41.47
88,Anderson-Bailey,Healthcare,Mid-Market,India,2025-01-01,Referral,118.55
89,Suarez LLC,Edtech,Enterprise,United States,2026-03-01,Organic,45.71
90,Moore-Bass,Manufacturing,Enterprise,Canada,2024-10-01,Organic,55.72
91,"Turner, Riggs and Roman",Hospitality,Small,Canada,2025-06-01,Organic,55.92
92,"Smith, Montoya and Evans",Edtech,Mid-Market,United Kingdom,2025-07-01,Paid Search,456.11
93,"Garcia, Humphrey and Baker",Retail,Mid-Market,Australia,2025-07-01,Organic,48.61
94,Newton and Sons,Retail,Small,United States,2025-03-01,Paid Search,559.83
95,Campbell-Clark,Healthcare,Mid-Market,United States,2025-07-01,Outbound Sales,469.64
96,Harris-Walters,Manufacturing,Mid-Market,United States,2025-08-01,Outbound Sales,981.56
97,Wagner-King,Legal,Mid-Market,United Kingdom,2026-02-01,Referral,141.01
98,Davis Group,Logistics,Mid-Market,United States,2024-11-01,Paid Search,435.12
99,Williams-Cook,Edtech,Mid-Market,United States,2026-04-01,Referral,130.23
100,Walsh LLC,Hospitality,Small,India,2025-11-01,Paid Search,440.28
101,Figueroa PLC,Edtech,Enterprise,Germany,2024-11-01,Partner,413.72
102,"Patterson, Smith and Jones",Media,Small,United States,2025-11-01,Paid Search,485.15
103,"Mckee, Gardner and Davenport",Healthcare,Small,India,2026-03-01,Organic,63.26
104,"Tran, Jordan and Williams",Media,Mid-Market,United Kingdom,2025-01-01,Paid Search,623.4
105,Nolan-Flynn,Media,Small,Germany,2025-06-01,Referral,150.8
106,Nolan and Sons,Real Estate,Mid-Market,United States,2025-01-01,Partner,312.46
