invoice_id,subscription_id,invoice_date,amount,payment_status,payment_method,retry_count
1,1,2025-04-01,51.92,paid,card,0
2,1,2025-05-01,51.92,paid,card,0
3,1,2025-06-01,51.92,paid,card,0
4,1,2025-07-01,51.92,paid,bank_transfer,0
5,1,2025-08-01,51.92,paid,card,0
6,1,2025-09-01,51.92,paid,card,0
7,1,2025-10-01,51.92,paid,upi,0
8,1,2025-11-01,51.92,paid,upi,0
9,1,2025-12-01,51.92,paid,card,0
10,1,2026-01-01,51.92,paid,card,0
11,1,2026-02-01,51.92,paid,bank_transfer,0
12,1,2026-03-01,51.92,paid,bank_transfer,0
13,1,2026-04-01,51.92,paid,upi,0
14,1,2026-05-01,51.92,paid,bank_transfer,0
15,2,2024-11-01,61.83,paid,card,0
16,2,2024-12-01,61.83,paid,card,0
17,2,2025-01-01,61.83,paid,card,0
18,2,2025-02-01,61.83,paid,upi,0
19,2,2025-03-01,61.83,paid,bank_transfer,0
20,2,2025-04-01,61.83,paid,card,0
21,2,2025-05-01,61.83,paid,card,0
22,2,2025-06-01,61.83,paid,bank_transfer,0
23,2,2025-07-01,61.83,paid,upi,0
24,2,2025-08-01,61.83,paid,bank_transfer,0
25,2,2025-09-01,61.83,paid,card,0
26,2,2025-10-01,61.83,paid,bank_transfer,0
27,2,2025-11-01,61.83,paid,card,0
28,2,2025-12-01,61.83,paid,card,0
29,2,2026-01-01,61.83,paid,card,0
30,2,2026-02-01,61.83,paid,card,0
31,2,2026-03-01,61.83,paid,card,0
32,2,2026-04-01,61.83,paid,card,0
33,2,2026-05-01,61.83,paid,card,0
34,2,2026-06-01,61.83,paid,bank_transfer,0
35,2,2026-07-01,61.83,paid,card,0
36,3,2024-10-01,46.54,paid,bank_transfer,0
37,3,2024-11-01,46.54,paid,bank_transfer,0
38,3,2024-12-01,46.54,paid,upi,0
39,3,2025-01-01,46.54,paid,bank_transfer,0
40,3,2025-02-01,46.54,failed,bank_transfer,1
41,3,2025-03-01,46.54,paid,bank_transfer,0
42,3,2025-04-01,46.54,paid,bank_transfer,0
43,3,2025-05-01,46.54,paid,card,0
44,3,2025-06-01,46.54,paid,card,0
45,4,2025-03-01,236.34,paid,card,0
46,4,2025-04-01,236.34,paid,card,0
47,4,2025-05-01,236.34,paid,card,0
48,4,2025-06-01,236.34,paid,card,0
49,4,2025-07-01,236.34,paid,card,0
50,4,2025-08-01,236.34,paid,bank_transfer,0
51,4,2025-09-01,236.34,paid,card,0
52,4,2025-10-01,236.34,paid,card,0
53,4,2025-11-01,236.34,paid,card,0
54,4,2025-12-01,236.34,paid,card,0
55,4,2026-01-01,236.34,paid,card,0
56,4,2026-02-01,236.34,paid,bank_transfer,0
57,4,2026-03-01,236.34,paid,card,0
58,4,2026-04-01,236.34,paid,card,0
59,4,2026-05-01,236.34,paid,card,0
60,4,2026-06-01,236.34,paid,bank_transfer,0
61,4,2026-07-01,236.34,paid,card,0
62,5,2025-07-01,46.08,paid,bank_transfer,0
63,5,2025-08-01,46.08,paid,upi,0
64,5,2025-09-01,46.08,paid,card,0
65,5,2025-10-01,46.08,paid,card,0
66,5,2025-11-01,46.08,paid,card,0
67,5,2025-12-01,46.08,paid,bank_transfer,0
68,5,2026-01-01,46.08,paid,card,0
69,5,2026-02-01,46.08,paid,bank_transfer,0
70,5,2026-03-01,46.08,paid,card,0
71,5,2026-04-01,46.08,paid,upi,0
72,5,2026-05-01,46.08,paid,upi,0
73,5,2026-06-01,46.08,paid,card,0
74,5,2026-07-01,46.08,paid,card,0
75,6,2025-02-01,43.26,paid,card,0
76,6,2025-03-01,43.26,paid,bank_transfer,0
77,6,2025-04-01,43.26,paid,card,0
78,6,2025-05-01,43.26,paid,bank_transfer,0
79,6,2025-06-01,43.26,paid,card,0
80,6,2025-07-01,43.26,paid,card,0
81,6,2025-08-01,43.26,paid,card,0
82,6,2025-09-01,43.26,paid,bank_transfer,0
83,6,2025-10-01,43.26,paid,card,0
84,6,2025-11-01,43.26,paid,card,0
85,6,2025-12-01,43.26,paid,bank_transfer,0
86,6,2026-01-01,43.26,paid,bank_transfer,0
87,6,2026-02-01,43.26,paid,card,0
88,6,2026-03-01,43.26,paid,card,0
89,7,2025-07-01,51.98,failed,card,0
90,7,2025-08-01,51.98,paid,bank_transfer,0
91,7,2025-09-01,51.98,paid,card,0
92,7,2025-10-01,51.98,paid,card,0
93,7,2025-11-01,51.98,paid,bank_transfer,0
94,7,2025-12-01,51.98,paid,card,0
95,7,2026-01-01,51.98,paid,card,0
96,7,2026-02-01,51.98,paid,card,0
97,7,2026-03-01,51.98,paid,card,0
98,7,2026-04-01,51.98,paid,card,0
99,7,2026-05-01,51.98,paid,card,0
100,7,2026-06-01,51.98,paid,bank_transfer,0
101,7,2026-07-01,51.98,paid,card,0
102,8,2025-08-01,192.82,paid,card,0
