event_id,customer_id,event_date,feature_used,login_count,active_users
1,1,2025-04-01,Automation,10,3
2,1,2025-05-01,Integrations,15,4
3,1,2025-06-01,API,14,2
4,1,2025-07-01,Dashboard,6,1
5,1,2025-08-01,Dashboard,9,2
6,1,2025-09-01,API,3,1
7,1,2025-10-01,Automation,10,1
8,1,2025-11-01,Automation,11,2
9,1,2025-12-01,Dashboard,2,1
10,1,2026-01-01,Reports,8,1
11,1,2026-02-01,API,10,2
12,1,2026-03-01,Dashboard,7,1
13,1,2026-04-01,Reports,0,1
14,1,2026-05-01,Automation,0,1
15,2,2024-11-01,Dashboard,5,1
16,2,2024-12-01,Integrations,9,2
17,2,2025-01-01,API,3,1
18,2,2025-02-01,Automation,0,1
19,2,2025-03-01,Integrations,0,1
20,2,2025-04-01,API,0,1
21,2,2025-05-01,Integrations,0,1
22,2,2025-06-01,API,7,1
23,2,2025-07-01,Integrations,5,1
24,2,2025-08-01,Automation,0,1
25,2,2025-09-01,Reports,0,1
26,2,2025-10-01,API,2,1
27,2,2025-11-01,API,5,1
28,2,2025-12-01,Automation,4,1
29,2,2026-01-01,Reports,3,1
30,2,2026-02-01,Integrations,3,1
31,2,2026-03-01,API,0,1
32,2,2026-04-01,Reports,3,1
33,2,2026-05-01,Integrations,2,1
34,2,2026-06-01,API,0,1
35,2,2026-07-01,API,7,1
36,3,2024-10-01,Automation,4,1
37,3,2024-11-01,Reports,3,1
38,3,2024-12-01,Integrations,2,1
39,3,2025-01-01,API,3,1
40,3,2025-02-01,Integrations,7,1
41,3,2025-03-01,Integrations,6,1
42,3,2025-04-01,Automation,0,1
43,3,2025-05-01,Automation,0,1
44,3,2025-06-01,Reports,1,1
45,4,2025-03-01,Automation,19,3
46,4,2025-04-01,Integrations,22,3
47,4,2025-05-01,Integrations,24,5
48,4,2025-06-01,Automation,22,4
49,4,2025-07-01,Reports,14,3
50,4,2025-08-01,Automation,23,4
51,4,2025-09-01,Integrations,20,4
52,4,2025-10-01,Integrations,20,5
53,4,2025-11-01,Reports,25,5
54,4,2025-12-01,Integrations,27,6
55,4,2026-01-01,Automation,23,5
56,4,2026-02-01,Reports,23,4
57,4,2026-03-01,Automation,15,3
58,4,2026-04-01,Reports,29,5
59,4,2026-05-01,Integrations,23,6
60,4,2026-06-01,API,23,7
61,4,2026-07-01,Reports,21,4
62,5,2025-07-01,Reports,3,1
63,5,2025-08-01,API,0,1
64,5,2025-09-01,API,0,1
65,5,2025-10-01,API,7,2
66,5,2025-11-01,Automation,4,1
67,5,2025-12-01,API,5,1
68,5,2026-01-01,Automation,0,1
69,5,2026-02-01,Dashboard,0,1
70,5,2026-03-01,Reports,1,1
71,5,2026-04-01,Integrations,8,1
72,5,2026-05-01,Dashboard,0,1
73,5,2026-06-01,API,2,1
74,5,2026-07-01,Reports,1,1
75,6,2025-02-01,Dashboard,0,1
76,6,2025-03-01,Integrations,5,1
77,6,2025-04-01,API,5,1
78,6,2025-05-01,Reports,1,1
79,6,2025-06-01,Integrations,0,1
80,6,2025-07-01,Dashboard,0,1
81,6,2025-08-01,Dashboard,7,1
82,6,2025-09-01,Dashboard,0,1
83,6,2025-10-01,Reports,2,1
84,6,2025-11-01,Integrations,0,1
85,6,2025-12-01,Dashboard,0,1
